年度,編號,獲獎學校
110,1,吳鳳學校財團法人吳鳳科技大學
110,2,台南家專學校財團法人台南應用科技大學
110,3,國立高雄科技大學
110,4,淡江大學學校財團法人淡江大學
110,5,銘傳大學
110,6,國立雲林科技大學
110,7,大仁科技大學
110,8,中臺科技大學
110,9,嶺東科技大學
110,10,修平學校財團法人修平科技大學
110,11,大華學校財團法人敏實科技大學
110,12,遠東科技大學
110,13,大同大學
110,14,國立中正大學
110,15,德明財經科技大學
110,16,中國醫藥大學
110,17,明志科技大學
110,18,開南大學
110,19,國立臺北教育大學
110,20,實踐大學
109,1,東吳大學
109,2,國立中央大學
109,3,真理大學
109,4,國立彰化師範大學
109,5,亞東技術學院
109,6,國立高雄師範大學
109,7,馬偕學校財團法人馬偕醫護管理專科學校
109,8,中國文化大學
109,9,宏國學校財團法人宏國德霖科技大學
109,10,美和學校財團法人美和科技大學
109,11,環球學校財團法人環球科技大學
109,12,國立嘉義大學
109,13,南臺學校財團法人南臺科技大學
109,14,國立臺灣大學
109,15,國立臺北護理健康大學
109,16,國立臺灣戲曲學院
109,17,輔仁大學學校財團法人輔仁大學
109,18,國立中興大學
109,19,中州學校財團法人中州科技大學
109,20,嘉藥學校財團法人嘉南藥理大學
108,1,義守大學
108,2,大葉大學
108,3,高雄醫學大學
108,4,臺北醫學大學
108,5,國立勤益科技大學
108,6,國立臺東大學
108,7,萬能科技大學
108,8,中華科技大學
108,9,佛光大學
108,10,國立成功大學
108,11,弘光科技大學
108,12,中信金融管理學院
108,13,國立台灣藝術大學
108,14,南亞技術學院
108,15,高苑科技大學
108,16,中國科技大學
108,17,景文科技大學
108,18,國立聯合大學
108,19,稻江科技管理學院
108,20,文藻外語大學
